Traces,Baseline IPC,Barca_DRRIP IPC
client_001.champsimtrace.xz,1.53075,1.55583
client_002.champsimtrace.xz,1.7595,1.80311
client_003.champsimtrace.xz,1.14885,1.16567
client_004.champsimtrace.xz,1.39365,1.40473
client_005.champsimtrace.xz,1.33715,1.37983
client_006.champsimtrace.xz,1.31223,1.33492
client_007.champsimtrace.xz,1.54623,1.59376
client_008.champsimtrace.xz,1.48557,1.52695
server_001.champsimtrace.xz,1.40699,1.44554
server_002.champsimtrace.xz,1.60118,1.60452
server_003.champsimtrace.xz,1.25477,1.25174
server_004.champsimtrace.xz,1.14165,1.14905
server_009.champsimtrace.xz,1.25892,1.28932
server_010.champsimtrace.xz,1.39716,1.44794
server_011.champsimtrace.xz,1.44791,1.4939
server_012.champsimtrace.xz,1.59342,1.69591
server_013.champsimtrace.xz,1.57398,1.62303
server_014.champsimtrace.xz,1.59178,1.60212
server_015.champsimtrace.xz,1.72235,1.73748
server_016.champsimtrace.xz,1.7835,1.85189
server_017.champsimtrace.xz,0.423376,0.424226
server_018.champsimtrace.xz,0.435203,0.434734
server_019.champsimtrace.xz,0.41516,0.414796
server_020.champsimtrace.xz,0.438576,0.437154
server_021.champsimtrace.xz,0.443911,0.441586
server_022.champsimtrace.xz,0.445293,0.442107
server_023.champsimtrace.xz,1.62852,1.69429
server_024.champsimtrace.xz,1.59218,1.67291
server_025.champsimtrace.xz,1.62279,1.69889
server_026.champsimtrace.xz,1.59525,1.66952
server_027.champsimtrace.xz,1.58408,1.65646
server_028.champsimtrace.xz,1.58169,1.63434
server_029.champsimtrace.xz,1.55288,1.62823
server_030.champsimtrace.xz,1.67697,1.71223
server_031.champsimtrace.xz,1.53193,1.60484
server_032.champsimtrace.xz,1.69641,1.77445
server_033.champsimtrace.xz,1.69641,1.80182
server_034.champsimtrace.xz,1.75818,1.87788
server_035.champsimtrace.xz,1.31124,1.35995
server_036.champsimtrace.xz,1.91047,1.98923
server_037.champsimtrace.xz,1.93509,1.99448
server_038.champsimtrace.xz,1.95588,2.01644
server_039.champsimtrace.xz,1.88168,1.97042
spec_gcc_001.champsimtrace.xz,1.53838,1.55616
spec_gcc_002.champsimtrace.xz,0.223979,0.22685
spec_gcc_003.champsimtrace.xz,0.257821,0.267518
spec_gobmk_001.champsimtrace.xz,1.2949,1.32107
spec_gobmk_002.champsimtrace.xz,1.29213,1.32558
spec_perlbench_001.champsimtrace.xz,1.63761,1.66878
spec_x264_001.champsimtrace.xz,2.62485,2.66993
