Traces,Baseline IPC,MANA_LIME IPC
client_001.champsimtrace.xz,1.53075,1.53964
client_002.champsimtrace.xz,1.7595,1.77577
client_003.champsimtrace.xz,1.14885,1.15953
client_004.champsimtrace.xz,1.39365,1.42362
client_005.champsimtrace.xz,1.33715,1.36453
client_006.champsimtrace.xz,1.31223,1.32821
client_007.champsimtrace.xz,1.54623,1.55239
client_008.champsimtrace.xz,1.48557,1.49709
server_001.champsimtrace.xz,1.40699,1.45472
server_002.champsimtrace.xz,1.60118,1.59996
server_003.champsimtrace.xz,1.25477,1.31275
server_004.champsimtrace.xz,1.14165,1.17904
server_009.champsimtrace.xz,1.25892,1.29438
server_010.champsimtrace.xz,1.39716,1.44559
server_011.champsimtrace.xz,1.44791,1.5067
server_012.champsimtrace.xz,1.59342,1.67052
server_013.champsimtrace.xz,1.57398,1.64165
server_014.champsimtrace.xz,1.59178,1.61349
server_015.champsimtrace.xz,1.72235,1.7328
server_016.champsimtrace.xz,1.7835,1.81297
server_017.champsimtrace.xz,0.423376,0.424983
server_018.champsimtrace.xz,0.435203,0.4371
server_019.champsimtrace.xz,0.41516,0.416953
server_020.champsimtrace.xz,0.438576,0.440669
server_021.champsimtrace.xz,0.443911,0.445931
server_022.champsimtrace.xz,0.445293,0.447169
server_023.champsimtrace.xz,1.62852,1.65411
server_024.champsimtrace.xz,1.59218,1.62542
server_025.champsimtrace.xz,1.62279,1.65706
server_026.champsimtrace.xz,1.59525,1.6295
server_027.champsimtrace.xz,1.58408,1.61905
server_028.champsimtrace.xz,1.58169,1.60008
server_029.champsimtrace.xz,1.55288,1.59127
server_030.champsimtrace.xz,1.67697,1.69896
server_031.champsimtrace.xz,1.53193,1.55927
server_032.champsimtrace.xz,1.69641,1.72803
server_033.champsimtrace.xz,1.69641,1.70604
server_034.champsimtrace.xz,1.75818,1.76617
server_035.champsimtrace.xz,1.31124,1.32209
server_036.champsimtrace.xz,1.91047,1.91631
server_037.champsimtrace.xz,1.93509,1.94003
server_038.champsimtrace.xz,1.95588,1.96174
server_039.champsimtrace.xz,1.88168,1.88663
spec_gcc_001.champsimtrace.xz,1.53838,1.54918
spec_gcc_002.champsimtrace.xz,0.223979,0.2266
spec_gcc_003.champsimtrace.xz,0.257821,0.264751
spec_gobmk_001.champsimtrace.xz,1.2949,1.29702
spec_gobmk_002.champsimtrace.xz,1.29213,1.29352
spec_perlbench_001.champsimtrace.xz,1.63761,1.64739
spec_x264_001.champsimtrace.xz,2.62485,2.62824
