Traces,Baseline IPC,MANA_SRRIP IPC
client_001.champsimtrace.xz,1.53075,1.5509
client_002.champsimtrace.xz,1.7595,1.79721
client_003.champsimtrace.xz,1.14885,1.16683
client_004.champsimtrace.xz,1.39365,1.44238
client_005.champsimtrace.xz,1.33715,1.37798
client_006.champsimtrace.xz,1.31223,1.34383
client_007.champsimtrace.xz,1.54623,1.59247
client_008.champsimtrace.xz,1.48557,1.5334
server_001.champsimtrace.xz,1.40699,1.46938
server_002.champsimtrace.xz,1.60118,1.62139
server_003.champsimtrace.xz,1.25477,1.33658
server_004.champsimtrace.xz,1.14165,1.20019
server_009.champsimtrace.xz,1.25892,1.32167
server_010.champsimtrace.xz,1.39716,1.48341
server_011.champsimtrace.xz,1.44791,1.54923
server_012.champsimtrace.xz,1.59342,1.72779
server_013.champsimtrace.xz,1.57398,1.69996
server_014.champsimtrace.xz,1.59178,1.63501
server_015.champsimtrace.xz,1.72235,1.75818
server_016.champsimtrace.xz,1.7835,1.86682
server_017.champsimtrace.xz,0.423376,0.426517
server_018.champsimtrace.xz,0.435203,0.43883
server_019.champsimtrace.xz,0.41516,0.418277
server_020.champsimtrace.xz,0.438576,0.442333
server_021.champsimtrace.xz,0.443911,0.447264
server_022.champsimtrace.xz,0.445293,0.448682
server_023.champsimtrace.xz,1.62852,1.70924
server_024.champsimtrace.xz,1.59218,1.67745
server_025.champsimtrace.xz,1.62279,1.70859
server_026.champsimtrace.xz,1.59525,1.68834
server_027.champsimtrace.xz,1.58408,1.6794
server_028.champsimtrace.xz,1.58169,1.64859
server_029.champsimtrace.xz,1.55288,1.63955
server_030.champsimtrace.xz,1.67697,1.75345
server_031.champsimtrace.xz,1.53193,1.60735
server_032.champsimtrace.xz,1.69641,1.77825
server_033.champsimtrace.xz,1.69641,1.80931
server_034.champsimtrace.xz,1.75818,1.88639
server_035.champsimtrace.xz,1.31124,1.36802
server_036.champsimtrace.xz,1.91047,2.03575
server_037.champsimtrace.xz,1.93509,2.02287
server_038.champsimtrace.xz,1.95588,2.04215
server_039.champsimtrace.xz,1.88168,1.99145
spec_gcc_001.champsimtrace.xz,1.53838,1.56026
spec_gcc_002.champsimtrace.xz,0.223979,0.227035
spec_gcc_003.champsimtrace.xz,0.257821,0.265297
spec_gobmk_001.champsimtrace.xz,1.2949,1.31454
spec_gobmk_002.champsimtrace.xz,1.29213,1.31869
spec_perlbench_001.champsimtrace.xz,1.63761,1.66446
spec_x264_001.champsimtrace.xz,2.62485,2.6655
