Traces,Baseline IPC,PIPS IPC
client_001.champsimtrace.xz,1.53075,1.55531
client_002.champsimtrace.xz,1.7595,1.84203
client_003.champsimtrace.xz,1.14885,1.19375
client_004.champsimtrace.xz,1.39365,1.59988
client_005.champsimtrace.xz,1.33715,1.43123
client_006.champsimtrace.xz,1.31223,1.34275
client_007.champsimtrace.xz,1.54623,1.6163
client_008.champsimtrace.xz,1.48557,1.57697
server_001.champsimtrace.xz,1.40699,1.45765
server_002.champsimtrace.xz,1.60118,1.61981
server_003.champsimtrace.xz,1.25477,1.36882
server_004.champsimtrace.xz,1.14165,1.23411
server_009.champsimtrace.xz,1.25892,1.33136
server_010.champsimtrace.xz,1.39716,1.5006
server_011.champsimtrace.xz,1.44791,1.61925
server_012.champsimtrace.xz,1.59342,1.76262
server_013.champsimtrace.xz,1.57398,1.69015
server_014.champsimtrace.xz,1.59178,1.64153
server_015.champsimtrace.xz,1.72235,1.75917
server_016.champsimtrace.xz,1.7835,1.89165
server_017.champsimtrace.xz,0.423376,0.42782
server_018.champsimtrace.xz,0.435203,0.440932
server_019.champsimtrace.xz,0.41516,0.418284
server_020.champsimtrace.xz,0.438576,0.443098
server_021.champsimtrace.xz,0.443911,0.448759
server_022.champsimtrace.xz,0.445293,0.448504
server_023.champsimtrace.xz,1.62852,1.74398
server_024.champsimtrace.xz,1.59218,1.71429
server_025.champsimtrace.xz,1.62279,1.74506
server_026.champsimtrace.xz,1.59525,1.72056
server_027.champsimtrace.xz,1.58408,1.71525
server_028.champsimtrace.xz,1.58169,1.67611
server_029.champsimtrace.xz,1.55288,1.66701
server_030.champsimtrace.xz,1.67697,1.76533
server_031.champsimtrace.xz,1.53193,1.64323
server_032.champsimtrace.xz,1.69641,1.82004
server_033.champsimtrace.xz,1.69641,1.85326
server_034.champsimtrace.xz,1.75818,1.94994
server_035.champsimtrace.xz,1.31124,1.39069
server_036.champsimtrace.xz,1.91047,2.0753
server_037.champsimtrace.xz,1.93509,2.04723
server_038.champsimtrace.xz,1.95588,2.05173
server_039.champsimtrace.xz,1.88168,2.01585
spec_gcc_001.champsimtrace.xz,1.53838,1.61829
spec_gcc_002.champsimtrace.xz,0.223979,0.240044
spec_gcc_003.champsimtrace.xz,0.257821,0.272784
spec_gobmk_001.champsimtrace.xz,1.2949,1.32635
spec_gobmk_002.champsimtrace.xz,1.29213,1.33971
spec_perlbench_001.champsimtrace.xz,1.63761,1.68391
spec_x264_001.champsimtrace.xz,2.62485,2.67408
