Traces,Baseline IPC,TAP IPC
client_001.champsimtrace.xz,1.53075,1.54911
client_002.champsimtrace.xz,1.7595,1.81903
client_003.champsimtrace.xz,1.14885,1.17783
client_004.champsimtrace.xz,1.39365,1.514
client_005.champsimtrace.xz,1.33715,1.40327
client_006.champsimtrace.xz,1.31223,1.33782
client_007.champsimtrace.xz,1.54623,1.60683
client_008.champsimtrace.xz,1.48557,1.5515
server_001.champsimtrace.xz,1.40699,1.43111
server_002.champsimtrace.xz,1.60118,1.62666
server_003.champsimtrace.xz,1.25477,1.34986
server_004.champsimtrace.xz,1.14165,1.20988
server_009.champsimtrace.xz,1.25892,1.31441
server_010.champsimtrace.xz,1.39716,1.46831
server_011.champsimtrace.xz,1.44791,1.54979
server_012.champsimtrace.xz,1.59342,1.70256
server_013.champsimtrace.xz,1.57398,1.65561
server_014.champsimtrace.xz,1.59178,1.63829
server_015.champsimtrace.xz,1.72235,1.75732
server_016.champsimtrace.xz,1.7835,1.85049
server_017.champsimtrace.xz,0.423376,0.426928
server_018.champsimtrace.xz,0.435203,0.439811
server_019.champsimtrace.xz,0.41516,0.41775
server_020.champsimtrace.xz,0.438576,0.440484
server_021.champsimtrace.xz,0.443911,0.446267
server_022.champsimtrace.xz,0.445293,0.448743
server_023.champsimtrace.xz,1.62852,1.69161
server_024.champsimtrace.xz,1.59218,1.6728
server_025.champsimtrace.xz,1.62279,1.70262
server_026.champsimtrace.xz,1.59525,1.67566
server_027.champsimtrace.xz,1.58408,1.66039
server_028.champsimtrace.xz,1.58169,1.63805
server_029.champsimtrace.xz,1.55288,1.63634
server_030.champsimtrace.xz,1.67697,1.72589
server_031.champsimtrace.xz,1.53193,1.61149
server_032.champsimtrace.xz,1.69641,1.77866
server_033.champsimtrace.xz,1.69641,1.83026
server_034.champsimtrace.xz,1.75818,1.9104
server_035.champsimtrace.xz,1.31124,1.37292
server_036.champsimtrace.xz,1.91047,2.07498
server_037.champsimtrace.xz,1.93509,2.03746
server_038.champsimtrace.xz,1.95588,2.05076
server_039.champsimtrace.xz,1.88168,2.0137
spec_gcc_001.champsimtrace.xz,1.53838,1.5609
spec_gcc_002.champsimtrace.xz,0.223979,0.222573
spec_gcc_003.champsimtrace.xz,0.257821,0.259533
spec_gobmk_001.champsimtrace.xz,1.2949,1.32243
spec_gobmk_002.champsimtrace.xz,1.29213,1.33307
spec_perlbench_001.champsimtrace.xz,1.63761,1.67189
spec_x264_001.champsimtrace.xz,2.62485,2.67309
