Traces,Baseline IPC,EIP IPC
client_001.champsimtrace.xz,0.971485,1.01423
client_002.champsimtrace.xz,1.2357,1.39145
client_003.champsimtrace.xz,0.946093,1.0198
client_004.champsimtrace.xz,1.01779,1.13882
client_005.champsimtrace.xz,0.99697,1.11696
client_006.champsimtrace.xz,0.793325,0.869196
client_007.champsimtrace.xz,0.987859,1.10714
client_008.champsimtrace.xz,0.993548,1.08767
server_001.champsimtrace.xz,0.876525,1.01162
server_002.champsimtrace.xz,1.28475,1.49108
server_003.champsimtrace.xz,0.763768,0.963175
server_004.champsimtrace.xz,0.607689,0.746186
server_009.champsimtrace.xz,0.625405,0.769474
server_010.champsimtrace.xz,0.680623,0.879212
server_011.champsimtrace.xz,0.788531,1.07968
server_012.champsimtrace.xz,0.7932,1.1305
server_013.champsimtrace.xz,0.763907,1.09525
server_014.champsimtrace.xz,1.08271,1.43015
server_015.champsimtrace.xz,1.12801,1.51888
server_016.champsimtrace.xz,0.899607,1.25181
server_017.champsimtrace.xz,0.316959,0.339685
server_018.champsimtrace.xz,0.330731,0.358144
server_019.champsimtrace.xz,0.312674,0.335008
server_020.champsimtrace.xz,0.331548,0.358986
server_021.champsimtrace.xz,0.337511,0.367011
server_022.champsimtrace.xz,0.33838,0.368105
server_023.champsimtrace.xz,0.844059,1.24142
server_024.champsimtrace.xz,0.831351,1.24062
server_025.champsimtrace.xz,0.855832,1.28975
server_026.champsimtrace.xz,0.809649,1.23819
server_027.champsimtrace.xz,0.799818,1.24208
server_028.champsimtrace.xz,0.785031,1.14409
server_029.champsimtrace.xz,0.780533,1.14405
server_030.champsimtrace.xz,0.813704,1.23238
server_031.champsimtrace.xz,0.773972,1.14613
server_032.champsimtrace.xz,0.802385,1.27208
server_033.champsimtrace.xz,0.875392,1.33077
server_034.champsimtrace.xz,0.898792,1.4528
server_035.champsimtrace.xz,0.734488,0.991793
server_036.champsimtrace.xz,0.870271,1.63986
server_037.champsimtrace.xz,0.85169,1.4642
server_038.champsimtrace.xz,0.854311,1.47756
server_039.champsimtrace.xz,0.85906,1.60359
spec_gcc_001.champsimtrace.xz,1.08585,1.12518
spec_gcc_002.champsimtrace.xz,0.182299,0.189961
spec_gcc_003.champsimtrace.xz,0.222201,0.241636
spec_gobmk_001.champsimtrace.xz,0.974015,1.0201
spec_gobmk_002.champsimtrace.xz,1.08221,1.15647
spec_perlbench_001.champsimtrace.xz,1.12345,1.18137
spec_x264_001.champsimtrace.xz,1.48507,1.58296
