Traces,Baseline IPC,barca-reduced-no IPC
client_001.champsimtrace.xz,0.971485,1.0099
client_002.champsimtrace.xz,1.2357,1.34446
client_003.champsimtrace.xz,0.946093,0.990155
client_004.champsimtrace.xz,1.01779,1.07148
client_005.champsimtrace.xz,0.99697,1.07131
client_006.champsimtrace.xz,0.793325,0.860154
client_007.champsimtrace.xz,0.987859,1.09299
client_008.champsimtrace.xz,0.993548,1.05739
server_001.champsimtrace.xz,0.876525,0.985589
server_002.champsimtrace.xz,1.28475,1.49448
server_003.champsimtrace.xz,0.763768,0.853928
server_004.champsimtrace.xz,0.607689,0.692306
server_009.champsimtrace.xz,0.625405,0.731061
server_010.champsimtrace.xz,0.680623,0.82836
server_011.champsimtrace.xz,0.788531,0.977451
server_012.champsimtrace.xz,0.7932,1.03402
server_013.champsimtrace.xz,0.763907,0.99354
server_014.champsimtrace.xz,1.08271,1.38695
server_015.champsimtrace.xz,1.12801,1.49199
server_016.champsimtrace.xz,0.899607,1.1892
server_017.champsimtrace.xz,0.316959,0.338294
server_018.champsimtrace.xz,0.330731,0.356761
server_019.champsimtrace.xz,0.312674,0.333626
server_020.champsimtrace.xz,0.331548,0.357398
server_021.champsimtrace.xz,0.337511,0.365343
server_022.champsimtrace.xz,0.33838,0.366444
server_023.champsimtrace.xz,0.844059,1.16276
server_024.champsimtrace.xz,0.831351,1.16188
server_025.champsimtrace.xz,0.855832,1.20981
server_026.champsimtrace.xz,0.809649,1.15833
server_027.champsimtrace.xz,0.799818,1.15468
server_028.champsimtrace.xz,0.785031,1.10046
server_029.champsimtrace.xz,0.780533,1.09534
server_030.champsimtrace.xz,0.813704,1.16845
server_031.champsimtrace.xz,0.773972,1.09748
server_032.champsimtrace.xz,0.802385,1.21112
server_033.champsimtrace.xz,0.875392,1.27694
server_034.champsimtrace.xz,0.898792,1.37779
server_035.champsimtrace.xz,0.734488,0.964912
server_036.champsimtrace.xz,0.870271,1.5387
server_037.champsimtrace.xz,0.85169,1.3799
server_038.champsimtrace.xz,0.854311,1.38663
server_039.champsimtrace.xz,0.85906,1.48636
spec_gcc_001.champsimtrace.xz,1.08585,1.10526
spec_gcc_002.champsimtrace.xz,0.182299,0.188219
spec_gcc_003.champsimtrace.xz,0.222201,0.238861
spec_gobmk_001.champsimtrace.xz,0.974015,1.01406
spec_gobmk_002.champsimtrace.xz,1.08221,1.14443
spec_perlbench_001.champsimtrace.xz,1.12345,1.1612
spec_x264_001.champsimtrace.xz,1.48507,1.57026
