Traces,Baseline IPC,mana IPC
client_001.champsimtrace.xz,0.971485,1.01132
client_002.champsimtrace.xz,1.2357,1.35108
client_003.champsimtrace.xz,0.946093,1.00472
client_004.champsimtrace.xz,1.01779,1.12454
client_005.champsimtrace.xz,0.99697,1.09258
client_006.champsimtrace.xz,0.793325,0.862887
client_007.champsimtrace.xz,0.987859,1.09339
client_008.champsimtrace.xz,0.993548,1.06962
server_001.champsimtrace.xz,0.876525,0.996915
server_002.champsimtrace.xz,1.28475,1.4797
server_003.champsimtrace.xz,0.763768,0.940001
server_004.champsimtrace.xz,0.607689,0.732788
server_009.champsimtrace.xz,0.625405,0.751635
server_010.champsimtrace.xz,0.680623,0.854579
server_011.champsimtrace.xz,0.788531,1.04318
server_012.champsimtrace.xz,0.7932,1.08422
server_013.champsimtrace.xz,0.763907,1.05064
server_014.champsimtrace.xz,1.08271,1.39353
server_015.champsimtrace.xz,1.12801,1.48122
server_016.champsimtrace.xz,0.899607,1.17628
server_017.champsimtrace.xz,0.316959,0.33795
server_018.champsimtrace.xz,0.330731,0.35504
server_019.champsimtrace.xz,0.312674,0.332762
server_020.champsimtrace.xz,0.331548,0.356684
server_021.champsimtrace.xz,0.337511,0.364303
server_022.champsimtrace.xz,0.33838,0.364527
server_023.champsimtrace.xz,0.844059,1.14946
server_024.champsimtrace.xz,0.831351,1.15304
server_025.champsimtrace.xz,0.855832,1.18153
server_026.champsimtrace.xz,0.809649,1.13919
server_027.champsimtrace.xz,0.799818,1.13802
server_028.champsimtrace.xz,0.785031,1.07547
server_029.champsimtrace.xz,0.780533,1.06085
server_030.champsimtrace.xz,0.813704,1.14458
server_031.champsimtrace.xz,0.773972,1.06134
server_032.champsimtrace.xz,0.802385,1.19305
server_033.champsimtrace.xz,0.875392,1.25646
server_034.champsimtrace.xz,0.898792,1.3587
server_035.champsimtrace.xz,0.734488,0.950828
server_036.champsimtrace.xz,0.870271,1.54404
server_037.champsimtrace.xz,0.85169,1.39074
server_038.champsimtrace.xz,0.854311,1.39802
server_039.champsimtrace.xz,0.85906,1.48083
spec_gcc_001.champsimtrace.xz,1.08585,1.11947
spec_gcc_002.champsimtrace.xz,0.182299,0.199021
spec_gcc_003.champsimtrace.xz,0.222201,0.24983
spec_gobmk_001.champsimtrace.xz,0.974015,1.00935
spec_gobmk_002.champsimtrace.xz,1.08221,1.13776
spec_perlbench_001.champsimtrace.xz,1.12345,1.1681
spec_x264_001.champsimtrace.xz,1.48507,1.57451
