Traces,Baseline IPC,pips IPC
client_001.champsimtrace.xz,0.971485,1.01367
client_002.champsimtrace.xz,1.2357,1.38391
client_003.champsimtrace.xz,0.946093,1.01942
client_004.champsimtrace.xz,1.01779,1.16603
client_005.champsimtrace.xz,0.99697,1.11576
client_006.champsimtrace.xz,0.793325,0.86772
client_007.champsimtrace.xz,0.987859,1.10653
client_008.champsimtrace.xz,0.993548,1.0816
server_001.champsimtrace.xz,0.876525,1.00315
server_002.champsimtrace.xz,1.28475,1.49172
server_003.champsimtrace.xz,0.763768,0.941916
server_004.champsimtrace.xz,0.607689,0.739361
server_009.champsimtrace.xz,0.625405,0.755846
server_010.champsimtrace.xz,0.680623,0.860108
server_011.champsimtrace.xz,0.788531,1.05978
server_012.champsimtrace.xz,0.7932,1.09358
server_013.champsimtrace.xz,0.763907,1.06035
server_014.champsimtrace.xz,1.08271,1.43143
server_015.champsimtrace.xz,1.12801,1.50999
server_016.champsimtrace.xz,0.899607,1.20721
server_017.champsimtrace.xz,0.316959,0.339051
server_018.champsimtrace.xz,0.330731,0.356214
server_019.champsimtrace.xz,0.312674,0.333802
server_020.champsimtrace.xz,0.331548,0.358574
server_021.champsimtrace.xz,0.337511,0.364631
server_022.champsimtrace.xz,0.33838,0.367409
server_023.champsimtrace.xz,0.844059,1.20101
server_024.champsimtrace.xz,0.831351,1.19815
server_025.champsimtrace.xz,0.855832,1.24858
server_026.champsimtrace.xz,0.809649,1.18458
server_027.champsimtrace.xz,0.799818,1.19495
server_028.champsimtrace.xz,0.785031,1.12352
server_029.champsimtrace.xz,0.780533,1.11765
server_030.champsimtrace.xz,0.813704,1.18865
server_031.champsimtrace.xz,0.773972,1.12059
server_032.champsimtrace.xz,0.802385,1.24233
server_033.champsimtrace.xz,0.875392,1.29414
server_034.champsimtrace.xz,0.898792,1.40331
server_035.champsimtrace.xz,0.734488,0.973514
server_036.champsimtrace.xz,0.870271,1.60426
server_037.champsimtrace.xz,0.85169,1.41861
server_038.champsimtrace.xz,0.854311,1.42877
server_039.champsimtrace.xz,0.85906,1.55078
spec_gcc_001.champsimtrace.xz,1.08585,1.13293
spec_gcc_002.champsimtrace.xz,0.182299,0.196303
spec_gcc_003.champsimtrace.xz,0.222201,0.240645
spec_gobmk_001.champsimtrace.xz,0.974015,1.02148
spec_gobmk_002.champsimtrace.xz,1.08221,1.16125
spec_perlbench_001.champsimtrace.xz,1.12345,1.17637
spec_x264_001.champsimtrace.xz,1.48507,1.58102
