Traces,Baseline IPC,tap IPC
client_001.champsimtrace.xz,0.971485,1.00374
client_002.champsimtrace.xz,1.2357,1.3534
client_003.champsimtrace.xz,0.946093,0.986685
client_004.champsimtrace.xz,1.01779,1.06091
client_005.champsimtrace.xz,0.99697,1.07786
client_006.champsimtrace.xz,0.793325,0.858699
client_007.champsimtrace.xz,0.987859,1.0853
client_008.champsimtrace.xz,0.993548,1.04877
server_001.champsimtrace.xz,0.876525,0.981878
server_002.champsimtrace.xz,1.28475,1.48053
server_003.champsimtrace.xz,0.763768,0.876951
server_004.champsimtrace.xz,0.607689,0.711335
server_009.champsimtrace.xz,0.625405,0.733358
server_010.champsimtrace.xz,0.680623,0.826741
server_011.champsimtrace.xz,0.788531,0.991182
server_012.champsimtrace.xz,0.7932,1.03974
server_013.champsimtrace.xz,0.763907,0.997757
server_014.champsimtrace.xz,1.08271,1.41149
server_015.champsimtrace.xz,1.12801,1.50048
server_016.champsimtrace.xz,0.899607,1.16786
server_017.champsimtrace.xz,0.316959,0.338584
server_018.champsimtrace.xz,0.330731,0.356963
server_019.champsimtrace.xz,0.312674,0.3336
server_020.champsimtrace.xz,0.331548,0.357847
server_021.champsimtrace.xz,0.337511,0.365709
server_022.champsimtrace.xz,0.33838,0.366451
server_023.champsimtrace.xz,0.844059,1.15229
server_024.champsimtrace.xz,0.831351,1.15217
server_025.champsimtrace.xz,0.855832,1.18894
server_026.champsimtrace.xz,0.809649,1.14234
server_027.champsimtrace.xz,0.799818,1.13888
server_028.champsimtrace.xz,0.785031,1.08928
server_029.champsimtrace.xz,0.780533,1.08847
server_030.champsimtrace.xz,0.813704,1.14871
server_031.champsimtrace.xz,0.773972,1.09984
server_032.champsimtrace.xz,0.802385,1.21719
server_033.champsimtrace.xz,0.875392,1.3014
server_034.champsimtrace.xz,0.898792,1.41404
server_035.champsimtrace.xz,0.734488,0.978446
server_036.champsimtrace.xz,0.870271,1.59103
server_037.champsimtrace.xz,0.85169,1.429
server_038.champsimtrace.xz,0.854311,1.44084
server_039.champsimtrace.xz,0.85906,1.57596
spec_gcc_001.champsimtrace.xz,1.08585,1.05891
spec_gcc_002.champsimtrace.xz,0.182299,0.185226
spec_gcc_003.champsimtrace.xz,0.222201,0.234832
spec_gobmk_001.champsimtrace.xz,0.974015,1.01295
spec_gobmk_002.champsimtrace.xz,1.08221,1.15608
spec_perlbench_001.champsimtrace.xz,1.12345,1.1657
spec_x264_001.champsimtrace.xz,1.48507,1.58078
