Traces,Baseline IPC,Barca+SHiP++ IPC
client_001.champsimtrace.xz,1.53075,1.48931
client_002.champsimtrace.xz,1.7595,1.72333
client_003.champsimtrace.xz,1.14885,1.14005
client_004.champsimtrace.xz,1.39365,1.36328
client_005.champsimtrace.xz,1.33715,1.33141
client_006.champsimtrace.xz,1.31223,1.27653
client_007.champsimtrace.xz,1.54623,1.54486
client_008.champsimtrace.xz,1.48557,1.47192
server_001.champsimtrace.xz,1.40699,1.39295
server_002.champsimtrace.xz,1.60118,1.56924
server_003.champsimtrace.xz,1.25477,1.22774
server_004.champsimtrace.xz,1.14165,1.12857
server_009.champsimtrace.xz,1.25892,1.24685
server_010.champsimtrace.xz,1.39716,1.374
server_011.champsimtrace.xz,1.44791,1.41653
server_012.champsimtrace.xz,1.59342,1.59195
server_013.champsimtrace.xz,1.57398,1.5289
server_014.champsimtrace.xz,1.59178,1.54374
server_015.champsimtrace.xz,1.72235,1.68002
server_016.champsimtrace.xz,1.7835,1.78856
server_017.champsimtrace.xz,0.423376,0.4231
server_018.champsimtrace.xz,0.435203,0.434808
server_019.champsimtrace.xz,0.41516,0.4137
server_020.champsimtrace.xz,0.438576,0.43485
server_021.champsimtrace.xz,0.443911,0.440383
server_022.champsimtrace.xz,0.445293,0.441499
server_023.champsimtrace.xz,1.62852,1.62558
server_024.champsimtrace.xz,1.59218,1.61348
server_025.champsimtrace.xz,1.62279,1.63371
server_026.champsimtrace.xz,1.59525,1.59306
server_027.champsimtrace.xz,1.58408,1.59453
server_028.champsimtrace.xz,1.58169,1.57534
server_029.champsimtrace.xz,1.55288,1.56432
server_030.champsimtrace.xz,1.67697,1.65944
server_031.champsimtrace.xz,1.53193,1.53558
server_032.champsimtrace.xz,1.69641,1.70573
server_033.champsimtrace.xz,1.69641,1.68578
server_034.champsimtrace.xz,1.75818,1.74988
server_035.champsimtrace.xz,1.31124,1.30683
server_036.champsimtrace.xz,1.91047,1.94655
server_037.champsimtrace.xz,1.93509,1.92753
server_038.champsimtrace.xz,1.95588,1.94895
server_039.champsimtrace.xz,1.88168,1.89435
spec_gcc_001.champsimtrace.xz,1.53838,1.49017
spec_gcc_002.champsimtrace.xz,0.223979,0.225832
spec_gcc_003.champsimtrace.xz,0.257821,0.265233
spec_gobmk_001.champsimtrace.xz,1.2949,1.26599
spec_gobmk_002.champsimtrace.xz,1.29213,1.24311
spec_perlbench_001.champsimtrace.xz,1.63761,1.61719
spec_x264_001.champsimtrace.xz,2.62485,2.65072
