Traces,Baseline IPC,FNL-MMA+SRRIP IPC
client_001.champsimtrace.xz,1.53075,1.55658
client_002.champsimtrace.xz,1.7595,1.81248
client_003.champsimtrace.xz,1.14885,1.18407
client_004.champsimtrace.xz,1.39365,1.5742
client_005.champsimtrace.xz,1.33715,1.41377
client_006.champsimtrace.xz,1.31223,1.35021
client_007.champsimtrace.xz,1.54623,1.61171
client_008.champsimtrace.xz,1.48557,1.56227
server_001.champsimtrace.xz,1.40699,1.4839
server_002.champsimtrace.xz,1.60118,1.61891
server_003.champsimtrace.xz,1.25477,1.41032
server_004.champsimtrace.xz,1.14165,1.26741
server_009.champsimtrace.xz,1.25892,1.35162
server_010.champsimtrace.xz,1.39716,1.53176
server_011.champsimtrace.xz,1.44791,1.66753
server_012.champsimtrace.xz,1.59342,1.8025
server_013.champsimtrace.xz,1.57398,1.77246
server_014.champsimtrace.xz,1.59178,1.64332
server_015.champsimtrace.xz,1.72235,1.75789
server_016.champsimtrace.xz,1.7835,1.93132
server_017.champsimtrace.xz,0.423376,0.427201
server_018.champsimtrace.xz,0.435203,0.439624
server_019.champsimtrace.xz,0.41516,0.419161
server_020.champsimtrace.xz,0.438576,0.442968
server_021.champsimtrace.xz,0.443911,0.447824
server_022.champsimtrace.xz,0.445293,0.449321
server_023.champsimtrace.xz,1.62852,1.77047
server_024.champsimtrace.xz,1.59218,1.74636
server_025.champsimtrace.xz,1.62279,1.7779
server_026.champsimtrace.xz,1.59525,1.76
server_027.champsimtrace.xz,1.58408,1.75342
server_028.champsimtrace.xz,1.58169,1.70303
server_029.champsimtrace.xz,1.55288,1.70101
server_030.champsimtrace.xz,1.67697,1.81308
server_031.champsimtrace.xz,1.53193,1.66249
server_032.champsimtrace.xz,1.69641,1.8412
server_033.champsimtrace.xz,1.69641,1.86896
server_034.champsimtrace.xz,1.75818,1.95843
server_035.champsimtrace.xz,1.31124,1.39408
server_036.champsimtrace.xz,1.91047,2.07044
server_037.champsimtrace.xz,1.93509,2.0424
server_038.champsimtrace.xz,1.95588,2.06092
server_039.champsimtrace.xz,1.88168,2.0181
spec_gcc_001.champsimtrace.xz,1.53838,1.60244
spec_gcc_002.champsimtrace.xz,0.223979,0.240609
spec_gcc_003.champsimtrace.xz,0.257821,0.265598
spec_gobmk_001.champsimtrace.xz,1.2949,1.3155
spec_gobmk_002.champsimtrace.xz,1.29213,1.321
spec_perlbench_001.champsimtrace.xz,1.63761,1.66834
spec_x264_001.champsimtrace.xz,2.62485,2.67142
