Traces,Baseline IPC,LIME IPC
client_001.champsimtrace.xz,1.53075,1.53097
client_002.champsimtrace.xz,1.7595,1.75943
client_003.champsimtrace.xz,1.14885,1.14877
client_004.champsimtrace.xz,1.39365,1.39358
client_005.champsimtrace.xz,1.33715,1.33682
client_006.champsimtrace.xz,1.31223,1.31316
client_007.champsimtrace.xz,1.54623,1.546
client_008.champsimtrace.xz,1.48557,1.48557
server_001.champsimtrace.xz,1.40699,1.40804
server_002.champsimtrace.xz,1.60118,1.59642
server_003.champsimtrace.xz,1.25477,1.25472
server_004.champsimtrace.xz,1.14165,1.14148
server_009.champsimtrace.xz,1.25892,1.25888
server_010.champsimtrace.xz,1.39716,1.3971
server_011.champsimtrace.xz,1.44791,1.44773
server_012.champsimtrace.xz,1.59342,1.59321
server_013.champsimtrace.xz,1.57398,1.5738
server_014.champsimtrace.xz,1.59178,1.60152
server_015.champsimtrace.xz,1.72235,1.73376
server_016.champsimtrace.xz,1.7835,1.78269
server_017.champsimtrace.xz,0.423376,0.423346
server_018.champsimtrace.xz,0.435203,0.435097
server_019.champsimtrace.xz,0.41516,0.41522
server_020.champsimtrace.xz,0.438576,0.438673
server_021.champsimtrace.xz,0.443911,0.444022
server_022.champsimtrace.xz,0.445293,0.445296
server_023.champsimtrace.xz,1.62852,1.62732
server_024.champsimtrace.xz,1.59218,1.59132
server_025.champsimtrace.xz,1.62279,1.6223
server_026.champsimtrace.xz,1.59525,1.59487
server_027.champsimtrace.xz,1.58408,1.58309
server_028.champsimtrace.xz,1.58169,1.58214
server_029.champsimtrace.xz,1.55288,1.55321
server_030.champsimtrace.xz,1.67697,1.67734
server_031.champsimtrace.xz,1.53193,1.53191
server_032.champsimtrace.xz,1.69641,1.69745
server_033.champsimtrace.xz,1.69641,1.69609
server_034.champsimtrace.xz,1.75818,1.75921
server_035.champsimtrace.xz,1.31124,1.31125
server_036.champsimtrace.xz,1.91047,1.91459
server_037.champsimtrace.xz,1.93509,1.9364
server_038.champsimtrace.xz,1.95588,1.95719
server_039.champsimtrace.xz,1.88168,1.8817
spec_gcc_001.champsimtrace.xz,1.53838,1.53793
spec_gcc_002.champsimtrace.xz,0.223979,0.224075
spec_gcc_003.champsimtrace.xz,0.257821,0.257828
spec_gobmk_001.champsimtrace.xz,1.2949,1.29449
spec_gobmk_002.champsimtrace.xz,1.29213,1.29158
spec_perlbench_001.champsimtrace.xz,1.63761,1.63724
spec_x264_001.champsimtrace.xz,2.62485,2.62559
