Traces,Baseline IPC,LRU IPC
client_001.champsimtrace.xz,1.53075,1.53075
client_002.champsimtrace.xz,1.7595,1.7595
client_003.champsimtrace.xz,1.14885,1.14885
client_004.champsimtrace.xz,1.39365,1.39365
client_005.champsimtrace.xz,1.33715,1.33715
client_006.champsimtrace.xz,1.31223,1.31223
client_007.champsimtrace.xz,1.54623,1.54623
client_008.champsimtrace.xz,1.48557,1.48557
server_001.champsimtrace.xz,1.40699,1.40699
server_002.champsimtrace.xz,1.60118,1.60118
server_003.champsimtrace.xz,1.25477,1.25477
server_004.champsimtrace.xz,1.14165,1.14165
server_009.champsimtrace.xz,1.25892,1.25892
server_010.champsimtrace.xz,1.39716,1.39716
server_011.champsimtrace.xz,1.44791,1.44791
server_012.champsimtrace.xz,1.59342,1.59342
server_013.champsimtrace.xz,1.57398,1.57398
server_014.champsimtrace.xz,1.59178,1.59178
server_015.champsimtrace.xz,1.72235,1.72235
server_016.champsimtrace.xz,1.7835,1.7835
server_017.champsimtrace.xz,0.423376,0.423376
server_018.champsimtrace.xz,0.435203,0.435203
server_019.champsimtrace.xz,0.41516,0.41516
server_020.champsimtrace.xz,0.438576,0.438576
server_021.champsimtrace.xz,0.443911,0.443911
server_022.champsimtrace.xz,0.445293,0.445293
server_023.champsimtrace.xz,1.62852,1.62852
server_024.champsimtrace.xz,1.59218,1.59218
server_025.champsimtrace.xz,1.62279,1.62279
server_026.champsimtrace.xz,1.59525,1.59525
server_027.champsimtrace.xz,1.58408,1.58408
server_028.champsimtrace.xz,1.58169,1.58169
server_029.champsimtrace.xz,1.55288,1.55288
server_030.champsimtrace.xz,1.67697,1.67697
server_031.champsimtrace.xz,1.53193,1.53193
server_032.champsimtrace.xz,1.69641,1.69641
server_033.champsimtrace.xz,1.69641,1.69641
server_034.champsimtrace.xz,1.75818,1.75818
server_035.champsimtrace.xz,1.31124,1.31124
server_036.champsimtrace.xz,1.91047,1.91047
server_037.champsimtrace.xz,1.93509,1.93509
server_038.champsimtrace.xz,1.95588,1.95588
server_039.champsimtrace.xz,1.88168,1.88168
spec_gcc_001.champsimtrace.xz,1.53838,1.53838
spec_gcc_002.champsimtrace.xz,0.223979,0.223979
spec_gcc_003.champsimtrace.xz,0.257821,0.257821
spec_gobmk_001.champsimtrace.xz,1.2949,1.2949
spec_gobmk_002.champsimtrace.xz,1.29213,1.29213
spec_perlbench_001.champsimtrace.xz,1.63761,1.63761
spec_x264_001.champsimtrace.xz,2.62485,2.62485
