Traces,Baseline IPC,PIPS+LIME IPC
client_001.champsimtrace.xz,1.53075,1.543
client_002.champsimtrace.xz,1.7595,1.80614
client_003.champsimtrace.xz,1.14885,1.18192
client_004.champsimtrace.xz,1.39365,1.56431
client_005.champsimtrace.xz,1.33715,1.40794
client_006.champsimtrace.xz,1.31223,1.32378
client_007.champsimtrace.xz,1.54623,1.55726
client_008.champsimtrace.xz,1.48557,1.52302
server_001.champsimtrace.xz,1.40699,1.43255
server_002.champsimtrace.xz,1.60118,1.59741
server_003.champsimtrace.xz,1.25477,1.33353
server_004.champsimtrace.xz,1.14165,1.20346
server_009.champsimtrace.xz,1.25892,1.29482
server_010.champsimtrace.xz,1.39716,1.43338
server_011.champsimtrace.xz,1.44791,1.56771
server_012.champsimtrace.xz,1.59342,1.66444
server_013.champsimtrace.xz,1.57398,1.62168
server_014.champsimtrace.xz,1.59178,1.61529
server_015.champsimtrace.xz,1.72235,1.73309
server_016.champsimtrace.xz,1.7835,1.8012
server_017.champsimtrace.xz,0.423376,0.424429
server_018.champsimtrace.xz,0.435203,0.439034
server_019.champsimtrace.xz,0.41516,0.416801
server_020.champsimtrace.xz,0.438576,0.441517
server_021.champsimtrace.xz,0.443911,0.44657
server_022.champsimtrace.xz,0.445293,0.446495
server_023.champsimtrace.xz,1.62852,1.65222
server_024.champsimtrace.xz,1.59218,1.62261
server_025.champsimtrace.xz,1.62279,1.65536
server_026.champsimtrace.xz,1.59525,1.61873
server_027.champsimtrace.xz,1.58408,1.61609
server_028.champsimtrace.xz,1.58169,1.59759
server_029.champsimtrace.xz,1.55288,1.5946
server_030.champsimtrace.xz,1.67697,1.6868
server_031.champsimtrace.xz,1.53193,1.56346
server_032.champsimtrace.xz,1.69641,1.73564
server_033.champsimtrace.xz,1.69641,1.70372
server_034.champsimtrace.xz,1.75818,1.76502
server_035.champsimtrace.xz,1.31124,1.32165
server_036.champsimtrace.xz,1.91047,1.91868
server_037.champsimtrace.xz,1.93509,1.94447
server_038.champsimtrace.xz,1.95588,1.95868
server_039.champsimtrace.xz,1.88168,1.88391
spec_gcc_001.champsimtrace.xz,1.53838,1.60178
spec_gcc_002.champsimtrace.xz,0.223979,0.239647
spec_gcc_003.champsimtrace.xz,0.257821,0.26608
spec_gobmk_001.champsimtrace.xz,1.2949,1.29846
spec_gobmk_002.champsimtrace.xz,1.29213,1.29867
spec_perlbench_001.champsimtrace.xz,1.63761,1.65551
spec_x264_001.champsimtrace.xz,2.62485,2.63011
