Traces,Baseline IPC,PIPS+SHiP++ IPC
client_001.champsimtrace.xz,1.53075,1.5208
client_002.champsimtrace.xz,1.7595,1.79057
client_003.champsimtrace.xz,1.14885,1.17901
client_004.champsimtrace.xz,1.39365,1.56011
client_005.champsimtrace.xz,1.33715,1.40466
client_006.champsimtrace.xz,1.31223,1.30856
client_007.champsimtrace.xz,1.54623,1.57441
client_008.champsimtrace.xz,1.48557,1.54208
server_001.champsimtrace.xz,1.40699,1.42461
server_002.champsimtrace.xz,1.60118,1.58872
server_003.champsimtrace.xz,1.25477,1.33207
server_004.champsimtrace.xz,1.14165,1.20866
server_009.champsimtrace.xz,1.25892,1.29974
server_010.champsimtrace.xz,1.39716,1.44586
server_011.champsimtrace.xz,1.44791,1.57309
server_012.champsimtrace.xz,1.59342,1.67812
server_013.champsimtrace.xz,1.57398,1.65414
server_014.champsimtrace.xz,1.59178,1.59259
server_015.champsimtrace.xz,1.72235,1.70731
server_016.champsimtrace.xz,1.7835,1.86167
server_017.champsimtrace.xz,0.423376,0.428149
server_018.champsimtrace.xz,0.435203,0.440649
server_019.champsimtrace.xz,0.41516,0.421147
server_020.champsimtrace.xz,0.438576,0.443417
server_021.champsimtrace.xz,0.443911,0.448435
server_022.champsimtrace.xz,0.445293,0.449232
server_023.champsimtrace.xz,1.62852,1.71155
server_024.champsimtrace.xz,1.59218,1.6806
server_025.champsimtrace.xz,1.62279,1.71358
server_026.champsimtrace.xz,1.59525,1.68601
server_027.champsimtrace.xz,1.58408,1.6787
server_028.champsimtrace.xz,1.58169,1.64897
server_029.champsimtrace.xz,1.55288,1.64352
server_030.champsimtrace.xz,1.67697,1.74512
server_031.champsimtrace.xz,1.53193,1.6154
server_032.champsimtrace.xz,1.69641,1.79619
server_033.champsimtrace.xz,1.69641,1.80924
server_034.champsimtrace.xz,1.75818,1.8878
server_035.champsimtrace.xz,1.31124,1.36356
server_036.champsimtrace.xz,1.91047,1.98984
server_037.champsimtrace.xz,1.93509,2.00262
server_038.champsimtrace.xz,1.95588,2.01652
server_039.champsimtrace.xz,1.88168,1.97347
spec_gcc_001.champsimtrace.xz,1.53838,1.57133
spec_gcc_002.champsimtrace.xz,0.223979,0.238222
spec_gcc_003.champsimtrace.xz,0.257821,0.267238
spec_gobmk_001.champsimtrace.xz,1.2949,1.26312
spec_gobmk_002.champsimtrace.xz,1.29213,1.24667
spec_perlbench_001.champsimtrace.xz,1.63761,1.64836
spec_x264_001.champsimtrace.xz,2.62485,2.63936
