Traces,Baseline IPC,PIPS+SHiP IPC
client_001.champsimtrace.xz,1.53075,1.5208
client_002.champsimtrace.xz,1.7595,1.55509
client_003.champsimtrace.xz,1.14885,1.79057
client_004.champsimtrace.xz,1.39365,1.84373
client_005.champsimtrace.xz,1.33715,1.17901
client_006.champsimtrace.xz,1.31223,1.1954
client_007.champsimtrace.xz,1.54623,1.56011
client_008.champsimtrace.xz,1.48557,1.60005
server_001.champsimtrace.xz,1.40699,1.40466
server_002.champsimtrace.xz,1.60118,1.43051
server_003.champsimtrace.xz,1.25477,1.30856
server_004.champsimtrace.xz,1.14165,1.34265
server_009.champsimtrace.xz,1.25892,1.57441
server_010.champsimtrace.xz,1.39716,1.61462
server_011.champsimtrace.xz,1.44791,1.54208
server_012.champsimtrace.xz,1.59342,1.57756
server_013.champsimtrace.xz,1.57398,1.42461
server_014.champsimtrace.xz,1.59178,1.4578
server_015.champsimtrace.xz,1.72235,1.58872
server_016.champsimtrace.xz,1.7835,1.61967
server_017.champsimtrace.xz,0.423376,1.33207
server_018.champsimtrace.xz,0.435203,1.3579
server_019.champsimtrace.xz,0.41516,1.20866
server_020.champsimtrace.xz,0.438576,1.23585
server_021.champsimtrace.xz,0.443911,1.29974
server_022.champsimtrace.xz,0.445293,1.33196
server_023.champsimtrace.xz,1.62852,1.44586
server_024.champsimtrace.xz,1.59218,1.49995
server_025.champsimtrace.xz,1.62279,1.57309
server_026.champsimtrace.xz,1.59525,1.62356
server_027.champsimtrace.xz,1.58408,1.67812
server_028.champsimtrace.xz,1.58169,1.76199
server_029.champsimtrace.xz,1.55288,1.65414
server_030.champsimtrace.xz,1.67697,1.7052
server_031.champsimtrace.xz,1.53193,1.59259
server_032.champsimtrace.xz,1.69641,1.64148
server_033.champsimtrace.xz,1.69641,1.70731
server_034.champsimtrace.xz,1.75818,1.75905
server_035.champsimtrace.xz,1.31124,1.86167
server_036.champsimtrace.xz,1.91047,1.89003
server_037.champsimtrace.xz,1.93509,0.428149
server_038.champsimtrace.xz,1.95588,0.427693
server_039.champsimtrace.xz,1.88168,0.440649
spec_gcc_001.champsimtrace.xz,1.53838,0.440828
spec_gcc_002.champsimtrace.xz,0.223979,0.421147
spec_gcc_003.champsimtrace.xz,0.257821,0.420556
spec_gobmk_001.champsimtrace.xz,1.2949,0.443417
spec_gobmk_002.champsimtrace.xz,1.29213,0.442987
spec_perlbench_001.champsimtrace.xz,1.63761,0.448435
spec_x264_001.champsimtrace.xz,2.62485,0.448632
