Traces,Baseline IPC,PIPS+SRRIP IPC
client_001.champsimtrace.xz,1.53075,1.55509
client_002.champsimtrace.xz,1.7595,1.84373
client_003.champsimtrace.xz,1.14885,1.1954
client_004.champsimtrace.xz,1.39365,1.60005
client_005.champsimtrace.xz,1.33715,1.43051
client_006.champsimtrace.xz,1.31223,1.34265
client_007.champsimtrace.xz,1.54623,1.61462
client_008.champsimtrace.xz,1.48557,1.57756
server_001.champsimtrace.xz,1.40699,1.4578
server_002.champsimtrace.xz,1.60118,1.61967
server_003.champsimtrace.xz,1.25477,1.3579
server_004.champsimtrace.xz,1.14165,1.23585
server_009.champsimtrace.xz,1.25892,1.33196
server_010.champsimtrace.xz,1.39716,1.49995
server_011.champsimtrace.xz,1.44791,1.62356
server_012.champsimtrace.xz,1.59342,1.76199
server_013.champsimtrace.xz,1.57398,1.7052
server_014.champsimtrace.xz,1.59178,1.64148
server_015.champsimtrace.xz,1.72235,1.75905
server_016.champsimtrace.xz,1.7835,1.89003
server_017.champsimtrace.xz,0.423376,0.427693
server_018.champsimtrace.xz,0.435203,0.440828
server_019.champsimtrace.xz,0.41516,0.420556
server_020.champsimtrace.xz,0.438576,0.442987
server_021.champsimtrace.xz,0.443911,0.448632
server_022.champsimtrace.xz,0.445293,0.44829
server_023.champsimtrace.xz,1.62852,1.74279
server_024.champsimtrace.xz,1.59218,1.71097
server_025.champsimtrace.xz,1.62279,1.74437
server_026.champsimtrace.xz,1.59525,1.71998
server_027.champsimtrace.xz,1.58408,1.71392
server_028.champsimtrace.xz,1.58169,1.67548
server_029.champsimtrace.xz,1.55288,1.66566
server_030.champsimtrace.xz,1.67697,1.76404
server_031.champsimtrace.xz,1.53193,1.64258
server_032.champsimtrace.xz,1.69641,1.81957
server_033.champsimtrace.xz,1.69641,1.85172
server_034.champsimtrace.xz,1.75818,1.94861
server_035.champsimtrace.xz,1.31124,1.38999
server_036.champsimtrace.xz,1.91047,2.07361
server_037.champsimtrace.xz,1.93509,2.04611
server_038.champsimtrace.xz,1.95588,2.05068
server_039.champsimtrace.xz,1.88168,2.01409
spec_gcc_001.champsimtrace.xz,1.53838,1.61863
spec_gcc_002.champsimtrace.xz,0.223979,0.239857
spec_gcc_003.champsimtrace.xz,0.257821,0.27127
spec_gobmk_001.champsimtrace.xz,1.2949,1.32536
spec_gobmk_002.champsimtrace.xz,1.29213,1.33792
spec_perlbench_001.champsimtrace.xz,1.63761,1.68276
spec_x264_001.champsimtrace.xz,2.62485,2.67267
