Traces,Baseline IPC,SHiP++ IPC
client_001.champsimtrace.xz,1.53075,1.47316
client_002.champsimtrace.xz,1.7595,1.64304
client_003.champsimtrace.xz,1.14885,1.11193
client_004.champsimtrace.xz,1.39365,1.33854
client_005.champsimtrace.xz,1.33715,1.27709
client_006.champsimtrace.xz,1.31223,1.2638
client_007.champsimtrace.xz,1.54623,1.51704
client_008.champsimtrace.xz,1.48557,1.44226
server_001.champsimtrace.xz,1.40699,1.36787
server_002.champsimtrace.xz,1.60118,1.53739
server_003.champsimtrace.xz,1.25477,1.20547
server_004.champsimtrace.xz,1.14165,1.10429
server_009.champsimtrace.xz,1.25892,1.20714
server_010.champsimtrace.xz,1.39716,1.32638
server_011.champsimtrace.xz,1.44791,1.35952
server_012.champsimtrace.xz,1.59342,1.49112
server_013.champsimtrace.xz,1.57398,1.46814
server_014.champsimtrace.xz,1.59178,1.51156
server_015.champsimtrace.xz,1.72235,1.64484
server_016.champsimtrace.xz,1.7835,1.74274
server_017.champsimtrace.xz,0.423376,0.423528
server_018.champsimtrace.xz,0.435203,0.43487
server_019.champsimtrace.xz,0.41516,0.415029
server_020.champsimtrace.xz,0.438576,0.438715
server_021.champsimtrace.xz,0.443911,0.443976
server_022.champsimtrace.xz,0.445293,0.445179
server_023.champsimtrace.xz,1.62852,1.58695
server_024.champsimtrace.xz,1.59218,1.55185
server_025.champsimtrace.xz,1.62279,1.58611
server_026.champsimtrace.xz,1.59525,1.55592
server_027.champsimtrace.xz,1.58408,1.54525
server_028.champsimtrace.xz,1.58169,1.54618
server_029.champsimtrace.xz,1.55288,1.5183
server_030.champsimtrace.xz,1.67697,1.63695
server_031.champsimtrace.xz,1.53193,1.49623
server_032.champsimtrace.xz,1.69641,1.65632
server_033.champsimtrace.xz,1.69641,1.66456
server_034.champsimtrace.xz,1.75818,1.71558
server_035.champsimtrace.xz,1.31124,1.29756
server_036.champsimtrace.xz,1.91047,1.86758
server_037.champsimtrace.xz,1.93509,1.90256
server_038.champsimtrace.xz,1.95588,1.93117
server_039.champsimtrace.xz,1.88168,1.82927
spec_gcc_001.champsimtrace.xz,1.53838,1.429
spec_gcc_002.champsimtrace.xz,0.223979,0.222698
spec_gcc_003.champsimtrace.xz,0.257821,0.256852
spec_gobmk_001.champsimtrace.xz,1.2949,1.19186
spec_gobmk_002.champsimtrace.xz,1.29213,1.14433
spec_perlbench_001.champsimtrace.xz,1.63761,1.56169
spec_x264_001.champsimtrace.xz,2.62485,2.60773
